TIMESTAMP,主爐爐底1,主爐爐底2,主爐爐底3,CHART_PARA_INDEX
"501","1","主爐爐底1","1325.300048828","℃","2016/12/1 下午 11:58:00","2016/12/1 下午 11:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.300048828","℃","2016/12/2 上午 12:09:00","2016/12/2 上午 12:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.500000000","℃","2016/12/2 上午 12:21:00","2016/12/2 上午 12:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.000000000","℃","2016/12/2 上午 12:33:00","2016/12/2 上午 12:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.300048828","℃","2016/12/2 上午 12:52:00","2016/12/2 上午 12:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.699951172","℃","2016/12/2 上午 01:03:00","2016/12/2 上午 01:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.699951172","℃","2016/12/2 上午 01:13:00","2016/12/2 上午 01:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.699951172","℃","2016/12/2 上午 01:22:00","2016/12/2 上午 01:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.199951172","℃","2016/12/2 上午 01:30:00","2016/12/2 上午 01:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1325.699951172","℃","2016/12/2 上午 01:43:00","2016/12/2 上午 01:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.199951172","℃","2016/12/2 上午 01:53:00","2016/12/2 上午 01:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.699951172","℃","2016/12/2 上午 02:02:00","2016/12/2 上午 02:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.099975586","℃","2016/12/2 上午 02:12:00","2016/12/2 上午 02:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.900024414","℃","2016/12/2 上午 02:23:00","2016/12/2 上午 02:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.699951172","℃","2016/12/2 上午 02:29:00","2016/12/2 上午 02:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1326.699951172","℃","2016/12/2 上午 02:42:00","2016/12/2 上午 02:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.099975586","℃","2016/12/2 上午 02:52:00","2016/12/2 上午 02:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.300048828","℃","2016/12/2 上午 03:02:00","2016/12/2 上午 03:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.599975586","℃","2016/12/2 上午 03:12:00","2016/12/2 上午 03:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.599975586","℃","2016/12/2 上午 03:23:00","2016/12/2 上午 03:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.599975586","℃","2016/12/2 上午 03:30:00","2016/12/2 上午 03:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.599975586","℃","2016/12/2 上午 03:39:00","2016/12/2 上午 03:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.599975586","℃","2016/12/2 上午 03:51:00","2016/12/2 上午 03:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.599975586","℃","2016/12/2 上午 03:59:00","2016/12/2 上午 03:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.099975586","℃","2016/12/2 上午 04:11:00","2016/12/2 上午 04:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.099975586","℃","2016/12/2 上午 04:21:00","2016/12/2 上午 04:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
"501","1","主爐爐底1","1327.300048828","℃","2016/12/2 上午 04:33:00","2016/12/2 上午 04:00:00","1340.000","1360.000","1330.000","1370.000","2016/11/19 上午 12:00:00","0","6.71403896136602"
